0.01 0.003900   0.01 0.009800   0.01 0.015000
0.02 0.017400   0.02 0.036900   0.02 0.049900
0.03 0.038100   0.03 0.075200   0.03 0.109500
0.04 0.068200   0.04 0.136300   0.04 0.189700
0.05 0.107500   0.05 0.206200   0.05 0.289500
0.06 0.152100   0.06 0.292100   0.06 0.410300
0.07 0.210300   0.07 0.390600   0.07 0.541500
0.08 0.274600   0.08 0.500000   0.08 0.688500
0.09 0.347200   0.09 0.625400   0.09 0.848800
0.10 0.423600   0.10 0.762100   0.10 1.018100
0.11 0.513700   0.11 0.909200   0.11 1.195700
0.12 0.611600   0.12 1.062100   0.12 1.372900
0.13 0.725400   0.13 1.223900   0.13 1.572700
0.14 0.834100   0.14 1.387200   0.14 1.776700
0.15 0.960900   0.15 1.570200   0.15 1.988700
0.16 1.089800   0.16 1.761400   0.16 2.209000
0.17 1.233400   0.17 1.968500   0.17 2.453300
0.18 1.389600   0.18 2.198500   0.18 2.702100
0.19 1.546300   0.19 2.418400   0.19 2.972600
0.20 1.717900   0.20 2.667500   0.20 3.245800
0.21 1.919800   0.21 2.941800   0.21 3.558900
0.22 2.121500   0.22 3.229000   0.22 3.902800
0.23 2.322000   0.23 3.548400   0.23 4.258100
0.24 2.550200   0.24 3.871200   0.24 4.652300
0.25 2.787900   0.25 4.207900   0.25 5.090000
0.26 3.029400   0.26 4.575800   0.26 5.536800
0.27 3.325000   0.27 5.015000   0.27 6.047400
0.28 3.640900   0.28 5.483200   0.28 6.609900
0.29 3.995300   0.29 5.992100   0.29 7.248100
0.30 4.381300   0.30 6.542000   0.30 7.913400
0.31 4.781900   0.31 7.088600   0.31 8.673600
0.32 5.247200   0.32 7.758900   0.32 9.518200
0.33 5.761800   0.33 8.595800   0.33 10.497200
0.34 6.266000   0.34 9.430400   0.34 11.594000
0.35 6.832400   0.35 10.432800  0.35 12.873300
0.36 7.505400   0.36 11.577800  0.36 14.361700
0.37 8.206600   0.37 12.909800  0.37 16.174200
0.38 8.998300   0.38 14.492400  0.38 18.258100
0.39 9.876300   0.39 16.087300  0.39 20.645300
0.40 10.819400  0.40 18.080700  0.40 23.429200
0.41 11.793200  0.41 20.434000  0.41 26.909500
0.42 12.951800  0.42 23.143400  0.42 30.874500
0.43 14.044600  0.43 26.081900  0.43 35.589600
0.44 15.317500  0.44 29.639500  0.44 41.276400
0.45 16.577600  0.45 33.421700  0.45 47.898300
0.46 17.933400  0.46 37.598800  0.46 55.842100
0.47 19.231700  0.47 41.798400  0.47 64.255600
0.48 20.494000  0.48 46.136400  0.48 73.060100
0.49 21.756700  0.49 50.141200  0.49 81.559100
0.50 22.754400  0.50 53.788800  0.50 88.271800
0.51 23.777900  0.51 56.706500  0.51 92.806300
0.52 24.644800  0.52 58.758900  0.52 94.909600
0.53 25.294300  0.53 59.669900  0.53 94.847600
0.54 25.839400  0.54 59.883200  0.54 93.243400
0.55 26.233600  0.55 59.232500  0.55 90.731300
0.56 26.455200  0.56 58.268900  0.56 87.885200
0.57 26.472100  0.57 56.994700  0.57 85.102100
0.58 26.437200  0.58 55.662300  0.58 82.576100
0.59 26.277300  0.59 54.250600  0.59 80.339400
0.60 26.003500  0.60 52.944200  0.60 78.373300
0.61 25.694700  0.61 51.780600  0.61 76.622500
0.62 25.295300  0.62 50.698400  0.62 74.982700
0.63 24.950100  0.63 49.664700  0.63 73.657000
0.64 24.572500  0.64 48.756400  0.64 72.464200
0.65 24.162400  0.65 48.001300  0.65 71.400800
0.66 23.803200  0.66 47.298600  0.66 70.417100
0.67 23.457300  0.67 46.640900  0.67 69.494500
0.68 23.079400  0.68 46.005000  0.68 68.650900
0.69 22.748800  0.69 45.399900  0.69 67.878900
0.70 22.453900  0.70 44.893800  0.70 67.210100
0.71 22.195100  0.71 44.420300  0.71 66.559400
0.72 21.951000  0.72 43.985000  0.72 65.938600
0.73 21.708500  0.73 43.611800  0.73 65.359800
0.74 21.494300  0.74 43.232200  0.74 64.832600
0.75 21.294700  0.75 42.878100  0.75 64.331300
0.76 21.107000  0.76 42.540900  0.76 63.871000
0.77 20.929000  0.77 42.240900  0.77 63.445900
0.78 20.765400  0.78 41.969900  0.78 63.033900
0.79 20.615300  0.79 41.714300  0.79 62.660600
0.80 20.469100  0.80 41.454700  0.80 62.330300
0.81 20.337400  0.81 41.223000  0.81 62.012800
0.82 20.209100  0.82 41.007100  0.82 61.718100
0.83 20.080600  0.83 40.809600  0.83 61.444100
0.84 19.960400  0.84 40.622300  0.84 61.188800
0.85 19.847200  0.85 40.450800  0.85 60.941300
0.86 19.740900  0.86 40.281400  0.86 60.713500
0.87 19.650200  0.87 40.122900  0.87 60.506700
0.88 19.559800  0.88 39.982700  0.88 60.309600
0.89 19.472900  0.89 39.842200  0.89 60.133700
0.90 19.394500  0.90 39.720200  0.90 59.966300
0.91 19.319100  0.91 39.595800  0.91 59.809900
0.92 19.256700  0.92 39.487800  0.92 59.663400
0.93 19.203100  0.93 39.374500  0.93 59.525800
0.94 19.151800  0.94 39.285500  0.94 59.397800
0.95 19.103500  0.95 39.201800  0.95 59.285100
0.96 19.064000  0.96 39.129900  0.96 59.181200
0.97 19.032800  0.97 39.071400  0.97 59.102000
0.98 19.014500  0.98 39.031100  0.98 59.044700
0.99 19.003400  0.99 39.007400  0.99 59.010700
